utm_easting,utm_northing,elevation
412111.3279844108,6240680.364282493,-30.9942803125
416303.87360087264,6249559.729069452,-27.852589583333337
405568.2313000284,6238146.034927579,-33.12037373333333
422509.4581578657,6248904.014730375,-27.88520261111111
415967.6596231519,6245233.8195937965,-28.74216429411765
412663.29282818775,6249089.162958315,-28.70288118181818
409562.7414714731,6235848.142142261,-32.42616466666667
424985.7293672448,6251334.315157674,-28.035557647058823
425180.5140685323,6236929.60650763,-25.104686466666667
423893.6954531312,6253419.273465229,-29.102871999999998
404471.8544690552,6232916.790096957,-33.54679223076923
425554.7274572221,6232485.467570598,-24.308582166666667
421931.7109482152,6240515.193394069,-27.2886275
412493.113203183,6234155.66924675,-31.4062062
422939.5944885706,6255655.950921082,-27.52141333333333
423587.58626700356,6246654.140134565,-26.936707363636366
417441.4889584193,6239134.450760349,-30.008311785714284
424213.6549951876,6258567.9855347825,-26.4861996875
419028.7620805853,6236353.855347453,-29.18967233333333
412614.13688024605,6237292.240010478,-31.488665
400735.867227982,6232703.983350096,-31.9981714
406851.00651539693,6235333.019211836,-33.32185888888889
407476.7781708322,6234037.198428388,-33.174999529411764
413683.8061354814,6237850.330190094,-31.197987714285716
414682.71794188366,6242509.77635855,-29.84998435
411681.9789719319,6233236.83735005,-31.586009333333333
421491.5485633132,6249146.306133247,-27.995117470588234
422121.77354929206,6260196.600574777,-26.05789409090909
420358.0185110794,6239566.30887958,-28.383325833333334
410157.59381403105,6238039.139269263,-32.040574875
423210.7033348711,6233601.577753589,-25.749097
419992.47993669694,6253949.591328174,-26.899557235294115
413702.805198074,6244243.059244558,-29.692702125
424940.3353936904,6255744.854450981,-27.924881857142857
422697.25101580657,6237399.099005251,-26.65657595
417065.4835243836,6236839.988692741,-30.514962466666667
409316.3951242591,6243632.828661163,-30.963539538461536
424504.36736137426,6245406.546162275,-26.168604
418739.9791700149,6250688.2588716615,-27.625047277777778
419976.162929792,6245835.860870293,-27.55620983333333
417777.5784367921,6247373.364161574,-28.0115551875
418346.99071851245,6255146.601368491,-25.286530733333333
425430.4043839569,6261508.440802153,-26.20290208333333
411548.8894887096,6247157.728571362,-29.591100375
409787.1408002935,6242089.616588217,-31.215677
404740.24518387043,6235257.181524981,-33.881993916666666
416242.69041298947,6234858.586010194,-30.188247714285716
414076.73625757295,6248187.357443541,-28.668698533333334
420089.0555506345,6234385.586933943,-27.9231205
419431.66965909646,6237753.326953104,-29.065617466666666
420605.49439865455,6247831.002681296,-27.79678661111111
423273.47663562483,6240914.100591642,-26.480840066666666
411480.4420322242,6235671.490475505,-31.837141588235294
415298.84667392564,6239796.312735823,-30.41174505882353
420223.6112379496,6242861.884866362,-27.6791764375
405056.1405430764,6239113.771055271,-32.9799095625
424690.13199350104,6250521.8573151585,-27.87983213333333
414211.87181290454,6232707.853068519,-30.436437625
423359.2819299576,6251859.990546168,-28.593020066666668
423807.20261292276,6249333.948756899,-27.7545536875
425047.6787570059,6240627.389285032,-25.525921733333334
421968.7885129839,6244847.609373805,-26.935264142857143
412984.39539778925,6241902.589517439,-30.470397090909092
404225.83564485115,6234081.587964866,-33.598926176470584
421038.68901146075,6251731.886823526,-27.982958785714285
419870.8292055571,6248275.173232904,-27.8504644
421110.5630535854,6254723.165941832,-27.132367933333335
406077.2674840304,6237672.059530131,-33.11212923076923
418365.0968897251,6233227.025594856,-28.68480657142857
422458.3812180776,6256932.676773357,-26.6023870625
411838.3407521901,6243454.94455016,-30.3864208125
409388.8126853847,6239812.917716642,-31.84430069230769
420633.3947005026,6241078.439389834,-27.992736647058823
425070.31224190636,6235308.023493043,-24.940209933333335
420048.4612164838,6233481.790613384,-27.7123478
421111.3981926754,6232793.073594631,-26.845865631578945
412763.0194316479,6245537.96166066,-29.6431211875
425966.4222820072,6234069.106481948,-24.272132615384617
415281.1542372652,6251163.619892215,-27.043964071428572
422261.5976906183,6247526.1103874985,-27.57362685714286
410707.82497600536,6244513.389797063,-30.416267615384616
416694.6767458563,6244052.966094074,-28.79810846666667
421480.5920228561,6236322.525324863,-27.310444625
411601.49446204246,6238248.163276775,-31.647623625
408371.0745501588,6236826.242273049,-32.693507571428576
418617.01691852126,6239717.585742671,-29.3911388125
424953.46186401375,6262347.995535788,-26.272150666666665
