latitude,longitude,elevation,value_count,cdi_index,utm_x,utm_y,utm_easting,utm_northing
55.46822917,7.833854167,-6.172966,4.0,2288.0,428071.43,6148529.389,426276.38167273614,6147515.611105982
55.46822917,7.834895833,-6.230728,4.0,2288.0,428137.266,6148528.312,426342.23244910705,6147514.507318987
55.46822917,7.8359375,-6.2865763,4.0,2288.0,428203.101,6148527.236,426408.08329738217,6147513.4045174625
55.46822917,7.836979167,-6.3395333,4.0,2288.0,428268.937,6148526.161,426473.93415433745,6147512.302702472
55.46822917,7.838020833,-6.38859,4.0,2288.0,428334.772,6148525.087,426539.78495674883,6147511.201875069
55.46822917,7.8390625,-6.4280972,4.0,2288.0,428400.608,6148524.014,426605.6358310411,6147510.102033142
55.46822917,7.840104167,-6.4556513,4.0,2288.0,428466.443,6148522.942,426671.48671399185,6147509.003177746
55.46822917,7.841145833,-6.470277,4.0,2288.0,428532.278,6148521.871,426737.33754237206,6147507.905309935
55.46822917,7.8421875,-6.47075,4.0,2288.0,428598.114,6148520.801,426803.1884426131,6147506.808427601
55.46822917,7.843229167,-6.458475,4.0,2288.0,428663.949,6148519.732,426869.03935148614,6147505.712531798
55.46822917,7.844270833,-6.4378605,4.0,2288.0,428729.785,6148518.663,426934.89020576846,6147504.617623573
55.46822917,7.8453125,-6.410756,4.0,2288.0,428795.62,6148517.596,427000.7411318851,6147503.52370083
55.46822917,7.846354167,-6.377922,4.0,2288.0,428861.456,6148516.53,427066.5920666119,6147502.430764615
55.46822917,7.847395833,-6.3511496,4.0,2288.0,428927.291,6148515.465,427132.4429467248,6147501.338815977
55.46822917,7.8484375,-6.331121,4.0,2288.0,424386.655,6148707.191,427198.29389865027,6147500.247852819
55.46822917,7.849479167,-6.3151894,4.0,2288.0,424452.488,6148706.059,427264.14485916094,6147499.15787619
55.46822917,7.850520833,-6.302405,4.0,2288.0,424518.321,6148704.928,427329.99576503434,6147498.068887134
55.46822917,7.8515625,-6.2919936,4.0,2288.0,424584.155,6148703.798,427395.84674269543,6147496.98088356
55.46822917,7.852604167,-6.283716,4.0,2288.0,424649.988,6148702.668,427461.69772892003,6147495.893866515
55.46822917,7.853645833,-6.2773137,4.0,2288.0,424715.821,6148701.54,427527.5486604839,6147494.807837037
55.46822917,7.8546875,-6.2727213,4.0,2288.0,424781.654,6148700.413,427593.3996638122,6147493.7227930445
55.46822917,7.855729167,-6.2700562,4.0,2288.0,424847.488,6148699.287,427659.2506756807,6147492.638735577
55.46822917,7.856770833,-6.2697124,4.0,2288.0,424913.321,6148698.161,427725.10163286515,6147491.5556656765
55.46822917,7.8578125,-6.2723646,4.0,2288.0,424979.154,6148697.037,427790.95266179234,6147490.473581262
55.46822917,7.858854167,-6.2786236,4.0,2288.0,425044.987,6148695.913,427856.80369923473,6147489.392483373
55.46822917,7.859895833,-6.289565,4.0,2288.0,425110.821,6148694.791,427922.6546819698,6147488.312373045
55.46822917,7.8609375,-6.3058467,4.0,2288.0,425176.654,6148693.67,427988.5057364226,6147487.233248205
55.46822917,7.861979167,-6.3286095,4.0,2288.0,425242.487,6148692.549,428054.356799369,6147486.15510989
55.46822917,7.863020833,-6.353698,4.0,2288.0,425308.321,6148691.43,428120.2078075846,6147485.077959131
55.46822917,7.8640625,-6.3791294,4.0,2288.0,425374.154,6148690.311,428186.0588874947,6147484.001793863
55.46822917,7.865104167,-6.4066463,4.0,2288.0,425439.987,6148689.194,428251.9099758767,6147482.926615119
55.46822917,7.866145833,-6.437211,4.0,2288.0,425505.821,6148688.078,428317.76100950286,6147481.852423928
55.46822917,7.8671875,-6.4696608,4.0,2288.0,425571.654,6148686.962,428383.6121148003,6147480.7792182285
55.46822917,7.868229167,-6.50257,4.0,2288.0,425637.487,6148685.848,428449.46322854457,6147479.70699905
55.46822917,7.869270833,-6.5345707,4.0,2288.0,425703.321,6148684.734,428515.31428751146,6147478.6357674245
55.46822917,7.8703125,-6.5649457,4.0,2288.0,425769.154,6148683.622,428581.16541812615,6147477.5655212905
